Customer ID,Customer Name,Address,Phone number
DV-13045,Darrin Van Huff,"United States,Henderson,Kentucky,42420,South",9558403332
BH-11710,Brosina Hoffman,"United States,Henderson,Kentucky,42420,South",2235569027
BH-11710,Brosina Hoffman,"United States,Los Angeles,California,90036,West",8171562100
BH-11710,Brosina Hoffman,"United States,Fort Lauderdale,Florida,33311,South",5301218163
BH-11710,Brosina Hoffman,"United States,Fort Lauderdale,Florida,33311,South",7885338808
BH-11710,Brosina Hoffman,"United States,Los Angeles,California,90032,West",7517217508
BH-11710,Brosina Hoffman,"United States,Los Angeles,California,90032,West",5699742273
BH-11710,Brosina Hoffman,"United States,Los Angeles,California,90032,West",4610782992
IM-15070,Irene Maddox,"United States,Los Angeles,California,90032,West",7772175023
AG-10270,Alejandro Grove,"United States,Los Angeles,California,90032,West",6704962857
ZD-21925,Zuschuss Donatelli,"United States,Los Angeles,California,90032,West",3702613195
ZD-21925,Zuschuss Donatelli,"United States,Los Angeles,California,90032,West",9207379195
ZD-21925,Zuschuss Donatelli,"United States,Concord,North Carolina,28027,South",5122786033
EB-13870,Emily Burns,"United States,Seattle,Washington,98103,West",8154500156
EH-13945,Eric Hoffmann,"United States,Fort Worth,Texas,76106,Central",2056772882
EH-13945,Eric Hoffmann,"United States,Fort Worth,Texas,76106,Central",6702352265
RA-19885,Ruben Ausman,"United States,Madison,Wisconsin,53711,Central",3784378832
KM-16720,Kunst Miller,"United States,West Jordan,Utah,84084,West",9415417517
KM-16720,Kunst Miller,"United States,San Francisco,California,94109,West",3562467275
KM-16720,Kunst Miller,"United States,San Francisco,California,94109,West",9543060905
KM-16720,Kunst Miller,"United States,San Francisco,California,94109,West",8548170389
BS-11590,Brendan Sweed,"United States,Fremont,Nebraska,68025,Central",2890637150
BS-11590,Brendan Sweed,"United States,Fremont,Nebraska,68025,Central",2320841254
DN-13690,Duane Noonan,"United States,Philadelphia,Pennsylvania,19140,East",8192752413
DN-13690,Duane Noonan,"United States,Orem,Utah,84057,West",9682990618
JS-15685,Jim Sink,"United States,Los Angeles,California,90049,West",3621427711
JS-15685,Jim Sink,"United States,Los Angeles,California,90049,West",9063309861
JS-15685,Jim Sink,"United States,Philadelphia,Pennsylvania,19140,East",6201531985
RB-19705,Roger Barcio,"United States,Philadelphia,Pennsylvania,19140,East",8438110608
KD-16345,Katherine Ducich,"United States,Philadelphia,Pennsylvania,19140,East",4549133508
LC-16870,Lena Cacioppo,"United States,Philadelphia,Pennsylvania,19140,East",8225585086
LC-16870,Lena Cacioppo,"United States,Philadelphia,Pennsylvania,19140,East",4158608663
LC-16870,Lena Cacioppo,"United States,Philadelphia,Pennsylvania,19140,East",3155883817
DK-13090,Dave Kipp,"United States,Philadelphia,Pennsylvania,19140,East",5362886867
TS-21610,Troy Staebel,"United States,Houston,Texas,77095,Central",2869290832
TS-21610,Troy Staebel,"United States,Richardson,Texas,75080,Central",6811172129
LS-16975,Lindsay Shagiari,"United States,Richardson,Texas,75080,Central",7221872442
LS-16975,Lindsay Shagiari,"United States,Houston,Texas,77041,Central",7928384053
LC-16885,Lena Creighton,"United States,Houston,Texas,77041,Central",8051707538
LC-16885,Lena Creighton,"United States,Houston,Texas,77041,Central",5718518838
LC-16885,Lena Creighton,"United States,Houston,Texas,77041,Central",7138262932
LC-16885,Lena Creighton,"United States,Naperville,Illinois,60540,Central",6126653613
LC-16885,Lena Creighton,"United States,Los Angeles,California,90049,West",7347522129
LC-16885,Lena Creighton,"United States,Melbourne,Florida,32935,South",5570382398
LC-16885,Lena Creighton,"United States,Eagan,Minnesota,55122,Central",9504988875
SH-19975,Sally Hughsby,"United States,Eagan,Minnesota,55122,Central",4270723044
SH-19975,Sally Hughsby,"United States,Westland,Michigan,48185,Central",4275331251
SH-19975,Sally Hughsby,"United States,Dover,Delaware,19901,East",5748008135
HA-14920,Helen Andreada,"United States,Dover,Delaware,19901,East",9436313171
TW-21025,Tamara Willingham,"United States,New Albany,Indiana,47150,Central",3849240931
TW-21025,Tamara Willingham,"United States,New Albany,Indiana,47150,Central",5883441040
SP-20650,Stephanie Phelps,"United States,New Albany,Indiana,47150,Central",5795932781
SP-20650,Stephanie Phelps,"United States,New Albany,Indiana,47150,Central",9572790566
SP-20650,Stephanie Phelps,"United States,New York City,New York,10024,East",7574326160
NK-18490,Neil Knudson,"United States,New York City,New York,10024,East",6780131688
DB-13060,Dave Brooks,"United States,Troy,New York,12180,East",7099910975
TT-21070,Ted Trevino,"United States,Troy,New York,12180,East",7273538388
RD-19900,Ruben Dartt,"United States,Troy,New York,12180,East",3463341841
